KNN,segmentation,77.35714285714286,80.0
KNN,segmentation,84.85714285714285,85.0
KNN,segmentation,100.0,100.0
KNN,segmentation,83.85714285714286,85.0
KNN,segmentation,75.0,75.0
KNN,segmentation,84.12698412698413,88.88888888888889
KNN,segmentation,80.0,78.94736842105263
KNN,segmentation,88.73015873015872,88.88888888888889
KNN,segmentation,93.72549019607843,94.11764705882352
KNN,segmentation,68.88888888888889,72.22222222222221
KNN,vote,92.53384912959379,92.5
KNN,vote,94.90607431783903,94.87179487179486
KNN,vote,97.44625744625745,97.43589743589743
KNN,vote,92.33877233877233,92.3076923076923
KNN,vote,94.92056856187293,94.87179487179486
KNN,vote,97.41785308287771,97.43589743589743
KNN,vote,87.2498812100734,87.17948717948718
KNN,vote,89.88070752776633,89.74358974358975
KNN,vote,87.33488733488734,87.17948717948718
KNN,vote,97.48518762343646,97.5
KNN,glass,81.80451127819549,84.21052631578947
K-Means,vote,92.57142857142856,92.5
K-Means,vote,97.44625744625745,97.43589743589743
K-Means,vote,97.44625744625745,97.43589743589743
K-Means,vote,84.4230769230769,84.61538461538461
KNN,glass,58.17307692307692,60.0
K-Means,vote,92.40093240093239,92.3076923076923
K-Means,vote,97.41785308287771,97.43589743589743
K-Means,vote,84.61538461538461,84.61538461538461
KNN,glass,67.68967874231032,68.42105263157895
K-Means,vote,87.08926541438856,87.17948717948718
KNN,glass,58.9105339105339,61.111111111111114
K-Means,vote,89.84113712374582,89.74358974358975
KNN,glass,77.75935828877006,80.0
K-Means,vote,97.48518762343646,97.5
KNN,glass,74.2296918767507,76.19047619047619
K-Means,segmentation,44.81203007518797,57.89473684210527
KNN,glass,68.42105263157895,68.42105263157895
K-Means,segmentation,63.07142857142857,65.0
K-Means,segmentation,65.99999999999999,70.0
K-Means,segmentation,57.214285714285715,65.0
K-Means,segmentation,68.1704260651629,73.68421052631578
K-Means,segmentation,67.20238095238095,70.0
K-Means,segmentation,54.93827160493827,61.111111111111114
K-Means,segmentation,70.29411764705881,76.47058823529412
K-Means,segmentation,47.989417989418,55.55555555555556
K-Means,segmentation,53.22751322751322,55.55555555555556
KNN,glass,61.111111111111114,61.111111111111114
KNN,glass,75.64171122994652,80.0
KNN,glass,84.41295546558706,84.21052631578947
K-Means,glass,58.245614035087726,63.1578947368421
KNN,fire,25.69944933425492,12125.278427390374
K-Means,glass,53.52380952380953,60.0
K-Means,glass,62.631578947368425,68.42105263157895
K-Means,glass,47.38095238095238,50.0
K-Means,glass,40.0,45.0
K-Means,glass,72.31498660070089,76.19047619047619
KNN,fire,13.142379232996293,710.8224061626032
K-Means,glass,48.421052631578945,52.63157894736842
KNN,fire,19.669428922803725,2689.230639972233
K-Means,glass,39.696969696969695,45.0
K-Means,glass,34.78260869565217,50.0
K-Means,glass,60.877192982456144,63.1578947368421
Condensed,fire,28.983667030539042,12334.197109397508
KNN,fire,37.20747495783601,26615.78888428345
Condensed,fire,16.9319240174973,1206.10822480184
KNN,fire,31.37459175679518,25489.73523814428
Condensed,fire,24.257044936712763,3230.7517465709907
K-Means,fire,6.026382978710582,393.4656893608649
Condensed,fire,38.06425763557321,26624.114394622116
K-Means,fire,5.76957446807283,139.7894063826813
KNN,fire,10.284587427458765,950.6734323795407
Condensed,fire,36.045174080528525,26313.913263466977
K-Means,fire,17.763617021238797,2600.4760616965946
K-Means,fire,37.36361702119709,26654.330993560307
K-Means,fire,6.681914893602804,172.6506404251646
KNN,fire,12.82361265212812,1293.022915593293
Condensed,fire,11.307601545393082,971.0614160241473
Edited,fire,25.69944933425492,12125.278427390374
KNN,fire,27.550101784503656,12884.167774750123
Edited,fire,13.142379232996293,710.8224061626032
Edited,fire,19.669428922803725,2689.230639972233
Condensed,fire,13.579422829271818,1289.2428120881564
K-Means,fire,2.4117021276544435,27.958108510578803
Edited,fire,37.20747495783601,26615.78888428345
KNN,fire,13.380889443716594,1011.9820229958564
Edited,fire,31.37459175679518,25489.73523814428
Condensed,fire,27.6342041347368,12879.916813481812
K-Means,fire,12.549782608668371,1340.443106518825
KNN,fire,12.310051757912504,1095.2817072714752
Condensed,fire,13.262841967233493,904.9948665749905
Edited,fire,10.284587427458765,950.6734323795407
K-Means,fire,23.854999999948138,12392.125210842622
KNN,machine,19.99137799190139,814.0247139061678
Condensed,fire,13.672458807132843,1287.3894245328127
Edited,machine,19.99137799190139,814.0247139061678
Condensed,machine,19.239330846046204,791.4624408911725
KNN,machine,32.749175118687205,1707.9693599179234
K-Means,fire,9.67478260867462,882.6682043459073
Edited,fire,12.82361265212812,1293.022915593293
Condensed,machine,29.9691873046123,1558.977146434869
KNN,machine,22.87054065341338,1608.730164854513
K-Means,machine,26.526315789334074,1567.5789473601708
Edited,machine,32.749175118687205,1707.9693599179234
Condensed,machine,22.61739394382462,1593.6574405823826
KNN,machine,60.18069533998082,18101.888270478572
K-Means,machine,45.42105263133989,5985.210526284289
Edited,machine,22.87054065341338,1608.730164854513
Edited,fire,27.550101784503656,12884.167774750123
KNN,machine,31.24506771168047,3399.6265947710563
K-Means,fire,5.375869565205703,147.87684999967854
K-Means,machine,33.05263157877341,3147.5789473518553
Condensed,machine,59.83657941946255,18090.824078364498
KNN,machine,94.12943500882066,50611.74570394953
Edited,machine,60.18069533998082,18101.888270478572
Condensed,machine,31.505900258889987,3402.661539211157
K-Means,machine,24.263157894609144,1730.0526315698419
KNN,machine,27.326650189728177,1236.0150288712327
Edited,machine,31.24506771168047,3399.6265947710563
Condensed,machine,93.3926512891658,50571.6572786505
K-Means,machine,25.99999999986316,2025.6842105156545
