vote,TRIAL: ,KNN,Zero One ,97.43589743589743,F1 Score,97.44997624201469,

vote,TRIAL: ,EDITED KNN,Zero One ,94.87179487179486,F1 Score,94.92056856187293,

vote,TRIAL: ,CONDENSED KNN,Zero One ,97.43589743589743,F1 Score,97.44997624201469,

glass,TRIAL: ,KNN,Zero One ,52.63157894736842,F1 Score,49.373433583959894,

glass,TRIAL: ,EDITED KNN,Zero One ,57.89473684210527,F1 Score,51.674641148325364,

glass,TRIAL: ,CONDENSED KNN,Zero One ,57.89473684210527,F1 Score,49.07663896583564,

fire,TRIAL: ,KNN,Mean Absolute Error,15.912036994897838,Mean Squared Error,871.3188245934799,

segmentation,TRIAL: ,KNN,Zero One ,68.42105263157895,F1 Score,64.46115288220551,

segmentation,TRIAL: ,EDITED KNN,Zero One ,63.1578947368421,F1 Score,61.954887218045116,

segmentation,TRIAL: ,CONDENSED KNN,Zero One ,42.10526315789473,F1 Score,38.421052631578945,

vote,TRIAL: ,KNN,Zero One ,89.74358974358975,F1 Score,89.84113712374582,

vote,TRIAL: ,EDITED KNN,Zero One ,84.61538461538461,F1 Score,84.82106129164953,

vote,TRIAL: ,CONDENSED KNN,Zero One ,84.61538461538461,F1 Score,83.54700854700855,

glass,TRIAL: ,KNN,Zero One ,60.0,F1 Score,56.244343891402714,

glass,TRIAL: ,EDITED KNN,Zero One ,60.0,F1 Score,53.590909090909086,

glass,TRIAL: ,CONDENSED KNN,Zero One ,60.0,F1 Score,56.52950558213716,

fire,TRIAL: ,KNN,Mean Absolute Error,20.014094030274492,Mean Squared Error,1844.7735338941504,

segmentation,TRIAL: ,KNN,Zero One ,78.94736842105263,F1 Score,78.59649122807018,

segmentation,TRIAL: ,EDITED KNN,Zero One ,78.94736842105263,F1 Score,78.59649122807018,

segmentation,TRIAL: ,CONDENSED KNN,Zero One ,31.57894736842105,F1 Score,18.437001594896334,

vote,TRIAL: ,KNN,Zero One ,90.0,F1 Score,90.10416666666666,

vote,TRIAL: ,EDITED KNN,Zero One ,87.5,F1 Score,87.66924564796905,

vote,TRIAL: ,CONDENSED KNN,Zero One ,42.5,F1 Score,42.84068466096116,

glass,TRIAL: ,KNN,Zero One ,60.0,F1 Score,54.10526315789473,

glass,TRIAL: ,EDITED KNN,Zero One ,55.00000000000001,F1 Score,46.666666666666664,

glass,TRIAL: ,CONDENSED KNN,Zero One ,40.0,F1 Score,25.41666666666667,

fire,TRIAL: ,KNN,Mean Absolute Error,17.10448131704906,Mean Squared Error,2602.96727062193,

segmentation,TRIAL: ,KNN,Zero One ,88.88888888888889,F1 Score,87.06349206349206,

segmentation,TRIAL: ,EDITED KNN,Zero One ,77.77777777777779,F1 Score,73.88888888888889,

segmentation,TRIAL: ,CONDENSED KNN,Zero One ,33.33333333333333,F1 Score,29.074074074074076,

vote,TRIAL: ,KNN,Zero One ,92.3076923076923,F1 Score,92.34992872604403,

vote,TRIAL: ,EDITED KNN,Zero One ,92.3076923076923,F1 Score,92.34992872604403,

vote,TRIAL: ,CONDENSED KNN,Zero One ,89.74358974358975,F1 Score,89.84113712374582,

glass,TRIAL: ,KNN,Zero One ,68.42105263157895,F1 Score,61.1336032388664,

glass,TRIAL: ,EDITED KNN,Zero One ,57.89473684210527,F1 Score,52.06867435969603,

glass,TRIAL: ,CONDENSED KNN,Zero One ,36.84210526315789,F1 Score,34.96240601503759,

fire,TRIAL: ,KNN,Mean Absolute Error,28.568197036520456,Mean Squared Error,3975.7375276573366,

segmentation,TRIAL: ,KNN,Zero One ,89.47368421052632,F1 Score,89.47368421052632,

segmentation,TRIAL: ,EDITED KNN,Zero One ,84.21052631578947,F1 Score,84.06015037593984,

segmentation,TRIAL: ,CONDENSED KNN,Zero One ,47.368421052631575,F1 Score,40.0,

vote,TRIAL: ,KNN,Zero One ,100.0,F1 Score,100.0,

vote,TRIAL: ,EDITED KNN,Zero One ,94.87179487179486,F1 Score,94.87179487179486,

vote,TRIAL: ,CONDENSED KNN,Zero One ,94.87179487179486,F1 Score,94.87179487179486,

glass,TRIAL: ,KNN,Zero One ,63.1578947368421,F1 Score,61.368806631964524,

glass,TRIAL: ,EDITED KNN,Zero One ,63.1578947368421,F1 Score,57.89473684210527,

glass,TRIAL: ,CONDENSED KNN,Zero One ,42.10526315789473,F1 Score,37.54385964912281,

fire,TRIAL: ,KNN,Mean Absolute Error,45.93968709846719,Mean Squared Error,27716.484351168227,

fire,TRIAL: ,EDITED KNN,Mean Absolute Error,45.93968709846719,Mean Squared Error,27716.484351168227,

fire,TRIAL: ,CONDENSED KNN,Mean Absolute Error,54.522455649985254,Mean Squared Error,27074.429804764615,

machine,TRIAL: ,KNN,Mean Absolute Error,60.232271068463945,Mean Squared Error,9450.00902502156,

machine,TRIAL: ,EDITED KNN,Mean Absolute Error,60.232271068463945,Mean Squared Error,9450.00902502156,

machine,TRIAL: ,CONDENSED KNN,Mean Absolute Error,61.62392441096577,Mean Squared Error,6861.25382375819,

