kvalue,cat/real,MAE
2,0.1,1.148491594
2,0.1,1.023095371
2,0.1,1.149532966
2,0.1,1.149793313
2,0.1,1.127739574
2,0.25,1.144327215
2,0.1,1.144327215
2,0.1,1.1498584
2,0.25,1.149532966
2,0.25,1.1498584
2,1,1.149532966
2,2,1.023095371
2,0.25,1.023095371
2,1,1.144327215
2,0.5,1.127739574
2,0.5,1.1498584
2,0.25,1.127739574
2,0.25,1.148491594
2,0.5,1.149793313
2,1,1.127739574
2,0.5,1.148491594
2,0.5,1.149532966
2,0.5,1.023095371
2,1,1.149793313
2,0.25,1.149793313
2,0.5,1.144327215
2,2,1.127739574
2,1,1.023095371
2,2,1.144327215
2,2,1.148491594
2,1,1.148491594
2,1,1.1498584
2,10,1.127739574
2,2,1.149532966
2,4,1.023095371
2,2,1.149793313
2,2,1.1498584
2,4,1.144327215
2,4,1.149793313
2,4,1.1498584
2,4,1.148491594
2,4,1.127739574
2,10,1.023095371
2,4,1.149532966
2,10,1.149793313
2,10,1.1498584
2,10,1.148491594
3,0.1,1.340509501
3,0.25,1.221387045
3,0.1,1.335861472
2,10,1.144327215
3,0.25,1.335861472
3,0.25,1.339368234
2,10,1.149532966
3,0.1,1.321470279
3,0.1,1.221387045
3,0.1,1.340238205
3,0.1,1.339368234
3,0.1,1.340455264
3,0.25,1.340455264
3,0.25,1.321470279
3,0.25,1.340238205
3,0.5,1.221387045
3,0.25,1.340509501
3,0.5,1.321470279
3,0.5,1.335861472
3,1,1.335861472
3,0.5,1.339368234
3,0.5,1.340238205
3,0.5,1.340455264
3,0.5,1.340509501
3,1,1.221387045
3,2,1.221387045
3,1,1.321470279
3,1,1.340455264
3,1,1.340509501
3,2,1.321470279
3,1,1.339368234
3,1,1.340238205
3,2,1.340455264
3,2,1.339368234
3,2,1.340509501
3,4,1.339368234
3,4,1.321470279
3,2,1.340238205
3,2,1.335861472
3,4,1.221387045
3,4,1.335861472
3,4,1.340509501
3,10,1.335861472
3,4,1.340238205
3,4,1.340455264
3,10,1.321470279
3,10,1.339368234
3,10,1.221387045
3,10,1.340238205
3,10,1.340455264
3,10,1.340509501
4,0.1,1.350133806
4,0.1,1.454956302
4,0.1,1.46995566
4,0.1,1.474801306
4,0.1,1.473611849
4,0.25,1.350152218
4,0.1,1.474744785
4,0.1,1.47451858
4,0.25,1.454961029
4,0.25,1.469956909
4,0.5,1.469956909
4,0.25,1.473612166
4,0.5,1.474801311
4,0.25,1.474518659
4,0.25,1.474744805
4,0.5,1.454961029
4,0.5,1.474744805
4,0.5,1.474518659
4,0.5,1.350152218
4,1,1.350152218
4,0.5,1.473612166
4,0.25,1.474801311
4,1,1.454961029
4,1,1.474518659
4,1,1.473612166
4,1,1.474744805
4,1,1.469956909
4,2,1.350152218
4,1,1.474801311
4,2,1.454961029
4,2,1.469956909
4,2,1.473612166
4,2,1.474518659
4,2,1.474744805
4,4,1.350152218
4,4,1.454961029
4,4,1.469956909
4,4,1.473612166
4,4,1.474744805
4,2,1.474801311
4,4,1.474518659
4,4,1.474801311
4,10,1.474744805
4,10,1.473612166
4,10,1.474518659
4,10,1.350152218
4,10,1.474801311
4,10,1.454961029
5,0.1,1.384345121
5,0.1,1.48423075
4,10,1.469956909
5,0.1,1.500183922
5,0.1,1.50418526
5,0.1,1.505183229
5,0.1,1.50549482
5,0.25,1.495653015
5,0.1,1.505432513
5,0.25,1.384439521
5,0.25,1.480473745
5,0.25,1.499455733
5,0.25,1.500403745
5,0.25,1.500640521
5,0.25,1.5006997
5,0.5,1.384439521
5,0.5,1.480473745
5,0.5,1.495653015
5,0.5,1.499455733
5,0.5,1.500403745
5,0.5,1.500640521
5,0.5,1.5006997
5,1,1.495653015
5,1,1.384439521
5,1,1.480473745
5,1,1.500403745
5,1,1.499455733
5,2,1.500640521
5,2,1.500403745
5,2,1.384439521
5,2,1.480473745
5,4,1.384439521
5,2,1.5006997
5,1,1.500640521
5,4,1.499455733
5,4,1.495653015
5,10,1.384439521
5,2,1.499455733
5,1,1.5006997
5,4,1.500640521
5,4,1.500403745
5,10,1.480473745
5,4,1.480473745
5,2,1.495653015
5,4,1.5006997
5,10,1.495653015
5,10,1.499455733
5,10,1.500403745
5,10,1.500640521
5,10,1.5006997
6,0.1,1.399328921
6,0.1,1.486534797
6,0.1,1.499536002
6,0.1,1.503349002
6,0.1,1.502599908
6,0.1,1.503581638
6,0.1,1.503535167
6,0.25,1.491020334
6,0.25,1.508492469
6,0.25,1.401839543
6,0.25,1.50512702
6,0.25,1.509318446
6,0.5,1.401839543
6,0.25,1.509523925
6,0.5,1.509523925
6,0.5,1.508492469
6,0.25,1.50957523
6,0.5,1.491020334
6,0.5,1.50957523
6,0.5,1.50512702
6,1,1.401839543
6,0.5,1.509318446
6,1,1.491020334
6,1,1.50512702
6,1,1.509318446
6,1,1.508492469
6,1,1.509523925
6,1,1.50957523
6,2,1.401839543
6,2,1.491020334
6,2,1.508492469
6,2,1.50512702
6,2,1.509318446
6,2,1.509523925
6,2,1.50957523
6,4,1.401839543
6,4,1.491020334
6,4,1.50512702
6,4,1.509318446
6,10,1.50512702
6,4,1.508492469
6,4,1.509523925
6,4,1.50957523
6,10,1.401839543
6,10,1.509318446
6,10,1.491020334
6,10,1.509523925
6,10,1.508492469
7,0.1,1.508696892
7,0.1,1.491567395
7,0.1,1.509498196
7,0.1,1.405185393
7,0.1,1.509697342
7,0.1,1.509747054
6,10,1.50957523
7,0.25,1.497924713
7,0.1,1.505420254
7,0.25,1.407540974
7,0.25,1.51216841
7,0.25,1.51552243
7,0.25,1.516343297
7,0.25,1.516547361
7,0.25,1.516598305
7,0.5,1.407540974
7,0.5,1.497924713
7,0.5,1.51216841
7,0.5,1.51552243
7,0.5,1.516343297
7,0.5,1.516547361
7,0.5,1.516598305
